标题,区域,位置,价格,一平米多少元
胜利街 统计局宿舍 浇筑房 停车方便,山西省统计局胜利桥东小区 ,胜利桥东,68万,7,149元/平
此房满五唯一，南北通透，楼层好，采光好。,柳溪花园 ,金刚堰商圈,115万,7,495元/平
精装简约风 滨河路央企开发 高楼层视野开阔 民用水电,中海寰宇天下 ,理工大商圈,110万,9,643元/平
全朝南户型，采光好，生活方便，配套齐全,富力现代广场 ,和平南路商圈,86.8万,9,807元/平
玉门河公园  大唐 开发 钢混结构  3层  两居两卫,大唐世家玉河苑 ,千峰北路商圈,67万,7,900元/平
东中环，地铁口，大红本满二，精装修家具全带,东景苑 ,建南汽车站商圈,110万,8,026元/平
2000年现浇 临地铁 小区安静 拎包入住,体育西路邮电宿舍 ,体育西路,105万,10,692元/平
业主急售和平公园首付20万地矿小区带地下室大红本,地矿小区 ,千峰南路商圈,53.5万,8,992元/平
3号楼准新家  采光好 二次装修 无抵押本满二 拎包入住,恒大雅苑 ,和平南路商圈,155万,11,440元/平
满五唯一   免个税   楼层好   业主诚心出售,橡胶厂小区 ,学府商圈,85万,13,908元/平
东中环富力城五期精装三居南北通透采光好看房方便,富力城E区 ,富力城商圈,128万,9,216元/平
和平公园旁 电梯精装房 本满二 有车位,漫香堤 ,千峰南路商圈,96万,10,324元/平
新上 急售婚房 一天未住 大红本 中层 南北 出行便利,汇隆花园（俊苑) ,东客站,99万,8,855元/平
宝佳万科紫台 3室2厅 南 北,宝佳万科紫台 ,南站机场商圈,208万,12,907元/平
南内环 并州路 电建小区 大红本 精准 随时看房 急售,电建小区 ,建南汽车站商圈,65万,10,361元/平
新上中间楼层 全南户型  采光好 大红本满两年,富力城E区 ,富力城商圈,78.5万,9,041元/平
恒大绿洲西西区 3室1厅 南,恒大绿洲西西区 ,经济开发区商圈,170万,12,590元/平
三墙路解放路万达，朝南户型，刚需，出行便利。。,北大街中社区 ,三墙路,28万,5,522元/平
南中环 长风商务区  万象城旁  保利梧桐语  全明户型,保利梧桐语 ,义井商圈,138万,11,666元/平
汾河公园双景观  摩天石新上 高楼层  单价低,摩天石 ,千峰北路商圈,368万,11,720元/平
长风商务区 邻近晋阳湖 保利梧桐语精装修两居室,保利梧桐语 ,义井商圈,104万,11,499元/平
免稅  中间层带地下室 南北通透 采光好 诚心出售,锦绣苑 ,赛马场商圈,81万,7,728元/平
迎泽西大街 西中环内 南北通透三居 有大红本,粮油小区 ,千峰北路商圈,69万,5,703元/平
和平公园旁 全明格局 全屋实木家具家电  中间层朝东户,十二院城 ,和平南路商圈,164万,10,446元/平
滨河东路 汾河观景电梯房 大红本南北朝向 可分期,龙湾国际 ,胜利桥东,118万,9,227元/平
全新家一天未住 恒大名都  精装大三居  业主诚心出售,恒大名都 ,小商品商圈,142万,10,433元/平
重机单位房 低楼层 精装三居 可贷款 诚心出售,玉河街新康乐西院 ,千峰北路商圈,77.5万,8,209元/平
下元迎泽西大街与西中环交叉口 三居 浇筑房,中铁十二局集团二号小区 ,千峰北路商圈,75万,9,324元/平
兰亭御湖城 大红本满五年税钱少 有钥匙 随时看房,兰亭·御湖城东区 ,义井商圈,152万,10,490元/平
漪汾街口 大唐世家惠泽苑  精装修,大唐世家惠泽苑 ,千峰北路商圈,66万,10,834元/平
大红本 电梯房 首付低 精装修,德详六院 ,胜利桥东,63万,7,412元/平
优山美郡三居 摄乐公园 省人民医院 和平北路,辰兴·优山美郡 ,三给,95万,7,597元/平
长风街 大两居 单价低楼下81 税费低,华德广场 ,亲贤商圈,96万,7,541元/平
业主急售 亲贤街大红本   距离地铁口400米 复式楼,奥林花园 ,亲贤商圈,75万,15,730元/平
当代沿湖城，满2年免增值税，南北通透3居室，拎包入住,当代MOMA沿湖城 ,亲贤商圈,150万,10,443元/平
南内环东岗路自行车厂中正锦城机床厂阳光小区鼎太风华,自行车厂宿舍 ,建南汽车站商圈,72万,7,247元/平
水西关街 桃园北路 无线电二厂宿舍 中间楼层 停车方便,无线电二厂宿舍 ,桃北商圈,60万,10,129元/平
万科物业！满二！全友环保家具家电全带！小高层有钥匙,万科蓝山3期 ,和平南路商圈,150万,11,678元/平
南北通透四居室 客厅三卧室朝南 毛坯房新家  带车位,康馨苑小区 ,经济开发区商圈,186万,9,062元/平
国际大都会小区 浇筑房 边户三居 诚售,国际大都会东区 ,晋阳街商圈,106万,8,654元/平
精装大四居 户型方正 南北通透 大红本在手 看房方便,万科紫郡 ,理工大商圈,283万,17,064元/平
